course_code,title,requirement_type,required_for_majors,elective_for_majors
ChE 210,Materials Science for Chemical Engineers,required_coursework,cheme,
ChE 211,Materials Science for Chemical Engineers,engineering_electives,,
ChE 221,Material and Energy Balances,engineering_electives,,
ChE 222,Material and Energy Balances,required_coursework,cheme,
ChE 232,Chemical Engineering Thermodynamics I,engineering_electives,,
ChE 233,Chemical Engineering Thermodynamics,required_coursework,cheme,
ChE 311,"Safety, Health, and Loss Prevention in Manufacturing",engineering_electives,,
ChE 312,Chemical Product Design,engineering_electives,,
ChE 331,Chemical Engineering Thermodynamics II,engineering_electives,,
ChE 332,Chemical Reaction Engineering,required_coursework,cheme,
ChE 341,Fluid Mechanics and Flow Systems,required_coursework,cheme,
ChE 342,Heat and Mass Transfer,required_coursework,cheme,
ChE 351,Separation Process Principles,required_coursework,cheme,
ChE 352,Process Simulation and Mathematical Techniques for Chemical Engineers,required_coursework,cheme,
ChE 361,Chemical Process Dynamics and Control,required_coursework,cheme,
ChE 371,Chemical Engineering Laboratory I,required_coursework,cheme,
ChE 372,Chemical Engineering Laboratory II,required_coursework,cheme,
ChE 381,Process Evaluation and Chemical Systems Design I,required_coursework,cheme,
ChE 382,Process Evaluation and Chemical Systems Design II,required_coursework,cheme,
ChE 391,Research Problem I,engineering_electives,,
ChE 392,Research Problem II,engineering_electives,,
ChE 393,Research Problem III,engineering_electives,,
ChE 394,Research Problem IV,engineering_electives,,
ChE 411,Polymer Technology and Engineering,engineering_electives,,
ChE 418,Carbon Removal Technologies,engineering_electives,,
ChE 421,Advanced Chemical Reaction Engineering,engineering_electives,,
ChE 423,Environmental Catalysis,engineering_electives,,
ChE 430,Thermodynamics of Special Systems,engineering_electives,,
ChE 431,Advanced Chemical Engineering Thermodynamics and Molecular Theory,engineering_electives,,
ChE 432,Phase Transitions: Simulations and Applications (same as EID 432),engineering_electives,,
ChE 433,Rocket Science,engineering_electives,,
ChE 434,Special Topics in Combustion,engineering_electives,,
ChE 440,Advanced Fluid Mechanics,engineering_electives,,
ChE 441,Advanced Heat and Mass Transfer,engineering_electives,,
ChE 444,Computational Modeling of Materials and Molecules (Starting Spring 2025),engineering_electives,,
ChE 445,Particle Technology,engineering_electives,,
ChE 447,Sustainability and Pollution Prevention,engineering_electives,,
ChE 460,Process Heat Transfer Equipment,engineering_electives,,
ChE 460.1,Heat Transfer Equipment Design (Heat Exchangers),engineering_electives,,
ChE 461,Principles of Design and Analysis of Reactors,engineering_electives,,
ChE 462,Design and Operation of Distillation Systems,engineering_electives,,
ChE 471,Selected Topics in Chemical Engineering,engineering_electives,,
ChE 474,Drug Formulation and Delivery,engineering_electives,,
ChE 475,Pharmaceutical Engineering,engineering_electives,,
ChE 488,Convex Optimization Techniques,engineering_electives,,
ChE 490,Process Synthesis,engineering_electives,,
ChE 491,Graduate Research Problem I,engineering_electives,,
ChE 492,Graduate Research Problem II,engineering_electives,,
ChE 493,Graduate Research Problem III,engineering_electives,,
ChE 494,Graduate Research Problem IV,engineering_electives,,
ChE 499,Thesis/Project,engineering_electives,,
CE 151,Urban Transportation Planning,required_coursework,cive,
CE 220,Civil Engineering Fundamentals,required_coursework,cive,
CE 321,Structural Engineering I,required_coursework,cive,
